account,Text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
CNN,"RT @CNNPolitics: ""My duty as a senator is to focus on the nominee's qualifications as long as that nominee's philosophy is within the mains…",Fri Oct 05 19:30:01 +0000 2018,0.0,0.0,1.0,0.0,1
CNN,"Sketches and notes by J.K. Rowling, along with other magical inspiration from around the world, are on display to h… https://t.co/vZh52SL3gO",Fri Oct 05 19:29:36 +0000 2018,0.5267,0.145,0.855,0.0,2
CNN,"RT @CNNPolitics: Republican Sen. Susan Collins: ""Today we have come to the conclusion of a confirmation process that has become so dysfunct…",Fri Oct 05 19:17:54 +0000 2018,0.0,0.0,1.0,0.0,3
CNN,"Sen. Susan Collins is announcing how she plans to vote on Brett Kavanaugh.

Follow live updates:… https://t.co/sc4b27zskg",Fri Oct 05 19:16:10 +0000 2018,0.0,0.0,1.0,0.0,4
CNN,Republican Sen. Susan Collins announces how she will vote on Kavanaugh. Watch CNN: https://t.co/UYpqI3w42L https://t.co/AR8UxenBpM,Fri Oct 05 19:14:00 +0000 2018,0.0,0.0,1.0,0.0,5
CNN,Traffic jams and loud horns after midnight. Folks in Ireland are more than just a little excited now that the count… https://t.co/rrFpwtChKa,Fri Oct 05 19:10:08 +0000 2018,0.2748,0.095,0.905,0.0,6
CNN,BREAKING: Chicago police Officer Jason Van Dyke has been found guilty of second-degree murder in the death of Laqua… https://t.co/wjoGThXDhY,Fri Oct 05 19:08:53 +0000 2018,-0.9081,0.0,0.599,0.401,7
CNN,"Mike ""The Situation"" Sorrentino, best known from MTV's ""Jersey Shore,"" is sentenced to eight months in prison for t… https://t.co/H6lBugshuL",Fri Oct 05 18:56:38 +0000 2018,0.2023,0.164,0.664,0.172,8
CNN,Greg Gianforte's private plane could be critical to Brett Kavanaugh's confirmation https://t.co/9FDHdSlxeL https://t.co/gh4nBnREEA,Fri Oct 05 18:50:07 +0000 2018,-0.3182,0.0,0.839,0.161,9
CNN,This woman is being hailed a hero after confronting another woman who was criticizing two friends for speaking Span… https://t.co/Mfb9jC4HW9,Fri Oct 05 18:40:16 +0000 2018,0.6705,0.322,0.524,0.154,10
CNN,"""I actually got to eat my food while it was still hot!”: This incredibly kind Olive Garden waitress helped feed a f… https://t.co/yl2iCWBkw9",Fri Oct 05 18:30:06 +0000 2018,0.6105,0.159,0.841,0.0,11
CNN,RT @cnnbrk: A verdict is reached in the trial of a Chicago police officer charged with murder in the killing of 17-year-old Laquan McDonald…,Fri Oct 05 18:23:22 +0000 2018,-0.872,0.097,0.55,0.353,12
CNN,"Vitamin D supplements do not improve bone mineral density or prevent fractures or falls in adults, a large study fi… https://t.co/IOaSMC6DIo",Fri Oct 05 18:20:06 +0000 2018,-0.0274,0.152,0.737,0.111,13
CNN,"Nike has said it is ""deeply concerned"" by the rape allegation against Cristiano Ronaldo https://t.co/C6jQ29Rf8N https://t.co/RjBuWu9TyE",Fri Oct 05 18:10:04 +0000 2018,-0.6908,0.0,0.761,0.239,14
CNN,"A two-year-old boy shredded more than $1,000 his parents had saved to pay a debt https://t.co/mNZgfPOVTU https://t.co/dl2WWnLarv",Fri Oct 05 18:00:02 +0000 2018,-0.0258,0.15,0.642,0.209,15
CNN,"Republican Sen. Lisa Murkowski voted no on cloture earlier this morning, and will vote no on the final Kavanaugh co… https://t.co/H1FfzWVJGW",Fri Oct 05 17:50:07 +0000 2018,-0.5267,0.0,0.812,0.188,16
